,z,height H1,height H2
195,195,2.7667255715000003,2.7827079292
196,196,2.7559741586,2.7730033896
197,197,2.7464225682,2.7623203944
198,198,2.7375366778999997,2.7513267632
199,199,2.7281573728999997,2.7413079296
200,200,2.7167336967999995,2.7339344598
201,201,2.7022542666,2.7303361128
202,202,2.6852375128999997,2.7301163239999995
203,203,2.6674592892,2.7316210284999993
204,204,2.6508646897000006,2.7330178421000006
205,205,2.6368544787,2.7330039887999997
206,206,2.6260559158,2.7310343529
207,207,2.6182235634,2.7274206247999997
208,208,2.6120945493,2.7234765801
209,209,2.605365382,2.721543273
210,210,2.5953889093000004,2.7242981181999997
211,211,2.5809371272999995,2.7330019845
212,212,2.5634363959,2.7462689546000005
213,213,2.5459399554000006,2.7610865369999997
214,214,2.5313401855000004,2.7745916589000004
215,215,2.5214791108999997,2.7849535055
216,216,2.516963792,2.7915563973
217,217,2.5171036318000004,2.7950625128
218,218,2.5197804071,2.7975428126000006
219,219,2.521578516,2.8023507339
220,220,2.5190116227000003,2.8129044703000003
221,221,2.5109445966,2.8302765563
222,222,2.4996990422000005,2.8520931523
223,223,2.4892515247,2.8743265841999994
224,224,2.4830252907999997,2.8934907551999998
225,225,2.4829899507000004,2.9075340233
226,226,2.4895479826000004,2.9159517091
227,227,2.5015017754000004,2.9198203013000006
228,228,2.5159499571,2.9219039675999996
229,229,2.5285875207000004,2.9263618484000005
230,230,2.5353788892000004,2.9370877039999996
231,231,2.5353632462,2.9549166637
232,232,2.5314672153999997,2.9768158033999996
233,233,2.5281571845999995,2.9982258135000004
234,234,2.5290599643999996,3.0154332801
235,235,2.5361143735999994,3.0264168003000007
236,236,2.5495042556000005,3.0309155519999997
237,237,2.5676258867999997,3.0304650975999996
238,238,2.5869954508,3.0284946626
239,239,2.6027131423,3.0298675858
240,240,2.6105652087999998,3.0387821386000002
241,241,2.6101249460000004,3.0556688531000002
242,242,2.6051597078000004,3.0767776977
243,243,2.6007497555,3.097049279
244,244,2.6008159561,3.1125791938000003
245,245,2.6073598088000005,3.1213736619
246,246,2.6204426366,3.1233685657
247,247,2.6381474405,3.1204670341
248,248,2.6565100842,3.1693697074999996
249,249,2.6701913869,3.1706707323999996
250,250,2.675006206,3.1803711789999998
251,251,2.6711365931999995,3.1982359512999996
252,252,2.662983862,3.2197887831000003
253,253,2.6558959445999997,3.2395895557
254,254,2.6537661943999997,3.2536410113999996
255,255,2.6584079811,3.2600197148999994
