,z,density water,density H2
121,24.29718875502008,0.805050794141848,0.0
122,24.497991967871485,0.7232467965536539,0.0
123,24.698795180722893,0.6327094481851664,0.0
124,24.899598393574298,0.6264573201102527,0.0
125,25.100401606425702,0.6041722684793528,0.0
126,25.301204819277107,0.5433014011372075,0.0
127,25.502008032128515,0.4511127954231142,0.0
128,25.70281124497992,0.39057965997056854,0.0
129,25.903614457831324,0.3355132296937613,0.0
130,26.104417670682732,0.27605796956433415,0.0
131,26.305220883534137,0.19931083700391,0.0
132,26.50602409638554,0.176198047757973,0.0
133,26.706827309236946,0.1319699987169703,0.0
134,26.907630522088354,0.08985189048419652,0.0
135,27.10843373493976,0.06746252528249494,0.0
136,27.309236947791163,0.04481489248348179,0.0
137,27.51004016064257,0.030583022551138435,0.0
