# Step_number	  Lambda_X	St_error_X	  Lambda_Y	St_error_Y	Lambda_mean	St_error_mean	     Tau_X	St_error_X	     Tau_Y	St_error_Y	  Tau_mean	St_error_mean
18.0000000000   50319.5145579656   3491.7218491679   52979.3815907185   2598.3623954097   51649.4480743420   3077.6296568817   15.2513742168   0.1651422644   15.2229147989   0.1609947782   15.2371445079   0.1630817067
19.0000000000   52324.6371162203   3643.3912653987   55101.5299808648   2726.9617410526   53713.0835485425   3217.9667687803   15.8588877503   0.1762581743   15.8324648403   0.1770907305   15.8456762953   0.1766749428
20.0000000000   54278.7143409188   3789.6426153621   57170.6052336170   2853.1019352949   55724.6597872679   3354.2198649874   16.4509631669   0.1866971875   16.4267763830   0.1937377418   16.4388697749   0.1902500360
21.0000000000   56182.5999210456   3929.6877813495   59188.1087700591   2976.9717019508   57685.3543455523   3486.0297311629   17.0278741169   0.1961967348   17.0062815699   0.2110431406   17.0170778434   0.2037552035
22.0000000000   58036.7123807349   4063.3632284217   61154.6988375591   3098.5882002982   59595.7056091470   3613.3204646915   17.5897508458   0.2046878184   17.5711710158   0.2290280045   17.5804609308   0.2171991365
23.0000000000   59840.5616461317   4190.7346856586   63069.9172615415   3218.1604738247   61455.2394538366   3736.2289839402   18.1364431043   0.2121889081   18.1213125853   0.2478100606   18.1288778448   0.2306880565
24.0000000000   61592.8498591538   4311.7703839454   64932.3934244146   3335.9998269155   63262.6216417842   3854.8838302242   18.6675565983   0.2187292446   18.6563116626   0.2675967930   18.6619341305   0.2443875264
25.0000000000   63292.1632630517   4426.5588923762   66740.6953215695   3452.1051113529   65016.4292923106   3969.3483928413   19.1826597242   0.2244314890   19.1757586918   0.2884562599   19.1792092080   0.2584342345
26.0000000000   64937.5926293354   4535.2242757829   68493.9882130370   3566.2261733898   66715.7904211862   4079.5973055818   19.6814739605   0.2294773969   19.6794176418   0.3103195337   19.6804458011   0.2729084908
27.0000000000   66528.9404094804   4637.7271054745   70192.0345026344   3677.9485139162   68360.4874560574   4185.4401187850   20.1639403536   0.2339936012   20.1672259135   0.3330686082   20.1655831336   0.2878260787
28.0000000000   68066.7371603169   4733.8130712949   71834.9897197626   3786.7401390531   69950.8634400397   4286.5129811234   20.6302253934   0.2380112720   20.6392352117   0.3565642831   20.6347303025   0.3031397810
29.0000000000   69551.9277151827   4823.2181093633   73423.6535366861   3892.1071852188   71487.7906259344   4382.4611391159   21.0806216673   0.2414811341   21.0956827163   0.3807082497   21.0881521918   0.3187882600
30.0000000000   70985.6819594831   4905.9449994658   74959.1979138888   3993.7260467002   72972.4399366860   4473.1501245697   21.5154852743   0.2443569573   21.5369112557   0.4054573259   21.5261982650   0.3347431595
31.0000000000   72369.4130205923   4981.8999804872   76443.0920844924   4091.3975538789   74406.2525525423   4558.4460816963   21.9352481203   0.2466103044   21.9633479813   0.4307965874   21.9492980508   0.3510002436
